No.;No. Abklatsch;No. Graf (No. Makam);Kode Katalog;Sisi Nisan;Kondisi;Tanggal Pembuatan;Tempat Penemuan;Kota/Kabupaten;Kecamatan;Mukim;Gampong;Meunasah;Bentuk Umum;Tinggi;Lebar;Posisi;Bentuk;Motif;Ukuran (cm);Jenis Nisan;Isi Inkripsi;Aksara;Bahasa;Khat;Tanggal Pendataan;BOKS;Tanggal Masuk Boks;Keterangan
484;1725;V;;5 selatan;Baik;1914 November;Makam Koeboe Aneu Oeleé Balang;Banda Aceh;Kuta Raja;Onderafd. Koeta Radja;Djawa;Gampong Djawa;Nisan Bermahkota;27;15,5;Atas;Mahkota;Floral;15,5x13;Kaligrafi dan Hiasan;-;Arab;Arab;-;16-May-24;Boks 5;24-Oct-24;
485;1726;V;;6 Barat;Baik;1914 November;Makam Koeboe Aneu Oeleé Balang;Banda Aceh;Kuta Raja;Onderafd. Koeta Radja;Djawa;Gampong Djawa;Persegi;15,5;13;Bawah;Panil;Floral;13x8;Kaligrafi dan Hiasan;-;Arab;Arab;-;16-May-24;Boks 5;24-Oct-24;
486;1727;V;;7 Utara;Baik;1914 November;Makam Koeboe Aneu Oeleé Balang;Banda Aceh;Kuta Raja;Onderafd. Koeta Radja;Djawa;Gampong Djawa;Persegi Panjang;27;16;Atas;Mahkota;Floral & Roset;16,5x16;Kaligrafi dan Hiasan;-;Arab;Arab;-;17-May-24;Boks 5;24-Oct-24;
487;1728;V;;8 Timur;Baik;1914 November;Makam Koeboe Aneu Oeleé Balang;Banda Aceh;Kuta Raja;Onderafd. Koeta Radja;Djawa;Gampong Djawa;Persegi;15;14;Bawah;Panil;Floral;14x7;Kaligrafi dan Hiasan;-;Arab;Arab;-;15-May-24;Boks 5;24-Oct-24;
488;1729;VII;abk.ach.okr.kao.vii;5 selatan;Baik;1914 November;Makam Koeboe Aneu Oeleé Balang;Banda Aceh;Kuta Raja;Onderafd. Koeta Radja;Djawa;Gampong Djawa;Nisan Bermahkota;17;12;Atas;Mahkota;Tidak Terlihat Jelas;10x1,5;Kaligrafi dan Hiasan;-;Arab;Arab;-;16-May-24;Boks 5;24-Oct-24;
489;1730;VII;abk.ach.okr.kao.vii;6 Barat;Baik;1914 November;Makam Koeboe Aneu Oeleé Balang;Banda Aceh;Kuta Raja;Onderafd. Koeta Radja;Djawa;Gampong Djawa;Persegi Panjang;28,5;15;-;-;-;-;Kaligrafi;-;Arab;Arab;-;03-Jun-24;Boks 5;24-Oct-24;
490;1731;VII;abk.ach.okr.kao.vii;7 Utara;Baik;1914 November;Makam Koeboe Aneu Oeleé Balang;Banda Aceh;Kuta Raja;Onderafd. Koeta Radja;Djawa;Gampong Djawa;Persegi Panjang;29;16;Atas;terpotong/tidak tercetak;terpotong/tidak tercetak;11x4;Kaligrafi;-;Arab;Arab;-;03-Jun-24;Boks 5;24-Oct-24;
491;1732;VII;abk.ach.okr.kao.vii;8 Timur;Baik;1914 November;Makam Koeboe Aneu Oeleé Balang;Banda Aceh;Kuta Raja;Onderafd. Koeta Radja;Djawa;Gampong Djawa;Persegi Panjang;28;16;-;-;-;-;Kaligrafi;Syair dan Puisi;Arab;Arab;-;16-May-24;Boks 5;24-Oct-24;
492;1734;XI;;2 Timur;Baik;1914 November;Makam Koeboe Aneu Oeleé Balang;Banda Aceh;Kuta Raja;Onderafd. Koeta Radja;Djawa;Gampong Djawa;Persegi Panjang;17;13;Atas;Panil;Floral;2,5x13;Kaligrafi dan Hiasan;Syair dan Puisi;Arab;Arab;-;16-May-24;Boks 5;24-Oct-24;
493;1735;XI;;3 Selatan;Baik;1914 November;Makam Koeboe Aneu Oeleé Balang;Banda Aceh;Kuta Raja;Onderafd. Koeta Radja;Djawa;Gampong Djawa;Persegi Panjang;18;14;Atas;Panil;Floral;3x14;Kaligrafi dan Hiasan;Syair dan Puisi;Arab;Arab;-;16-May-24;Boks 5;24-Oct-24;
494;1736;XI;;4 Barat;Baik;1914 November;Makam Koeboe Aneu Oeleé Balang;Banda Aceh;Kuta Raja;Onderafd. Koeta Radja;Djawa;Gampong Djawa;Persegi Panjang;17;13;-;-;-;-;Kaligrafi dan Hiasan;-;Arab;Arab;-;16-May-24;Boks 5;24-Oct-24;
495;1737;XI;;5 selatan;Baik;1914 November;Makam Koeboe Aneu Oeleé Balang;Banda Aceh;Kuta Raja;Onderafd. Koeta Radja;Djawa;Gampong Djawa;Persegi Panjang;17;14;Atas;Panil;Floral;2x14;Kaligrafi dan Hiasan;-;Arab;Arab;-;16-May-24;Boks 5;24-Oct-24;
496;1738;XI;;6 Barat;Baik;1914 November;Makam Koeboe Aneu Oeleé Balang;Banda Aceh;Kuta Raja;Onderafd. Koeta Radja;Djawa;Gampong Djawa;Persegi Panjang;17;14;Atas;Panil;Floral;11,5x2;Kaligrafi dan Hiasan;-;Arab;Arab;-;17-May-24;Boks 5;24-Oct-24;
497;1739;XI;;7 Utara;Baik;1914 November;Makam Koeboe Aneu Oeleé Balang;Banda Aceh;Kuta Raja;Onderafd. Koeta Radja;Djawa;Gampong Djawa;Persegi Panjang;17;12;-;-;-;-;Kaligrafi;-;Arab;Arab;-;16-May-24;Boks 5;24-Oct-24;
498;1740;XI;;8 Timur;Baik;1914 November;Makam Koeboe Aneu Oeleé Balang;Banda Aceh;Kuta Raja;Onderafd. Koeta Radja;Djawa;Gampong Djawa;Persegi Panjang;17;14;Atas;Panil;Floral;11,5x2;Kaligrafi dan Hiasan;-;Arab;Arab;-;16-May-24;Boks 5;;
499;1741;I;abk.ach.okr.smr.i;5-6-7-8 Melingkar;Baik;1914 November;Makam Said Meuroedin;Banda Aceh;Kuta Raja;Onderafd. Koeta Radja;Djawa;Gampong Djawa;Persegi Panjang;67;9;-;-;-;-;Kaligrafi;-;Arab;Arab;-;03-Jun-24;Boks 6;24-Oct-24;
500;1742;A;;5 Selatan;Baik;1915 Januari;Makam Toean di Bandar;Banda Aceh;Kuta Raja;Onderafd. Koeta Radja;Djawa;Gampong Djawa;Persegi Panjang;39;25;Atas;Mahkota;Floral;25x7;Kaligrafi dan Hiasan;-;Arab;Arab;-;03-Jun-24;Boks 6;24-Oct-24;
501;1743;A;;6 Barat;Baik;1915 Januari;Makam Toean di Bandar;Banda Aceh;Kuta Raja;Onderafd. Koeta Radja;Djawa;Gampong Djawa;Persegi Panjang;40;24,5;Atas;Mahkota;Floral;24,5x8;Kaligrafi dan Hiasan;-;Arab;Arab;-;03-Jun-24;Boks 6;24-Oct-24;
502;1745;A;;8 Timur;Baik;1915 Januari;Makam Toean di Bandar;Banda Aceh;Kuta Raja;Onderafd. Koeta Radja;Djawa;Gampong Djawa;Persegi Panjang;39;25;Atas;Mahkota;Floral;25x7;Kaligrafi dan Hiasan;-;Arab;Arab;-;03-Jun-24;Boks 6;24-Oct-24;Kesalahan penomoran pada abklats (sisi depan 1745 dan belakang 1744). Nomor yang benar adalah 1745.
503;1746;B;abk.ach.okr.tdb.ii;5 Selatan;Baik;1915 Januari;Makam Toean di Bandar;Banda Aceh;Kuta Raja;Onderafd. Koeta Radja;Djawa;Gampong Djawa;Persegi Panjang;49;18;Atas;Mahkota;Floral & Roset;28x18;Kaligrafi dan Hiasan;-;Arab;Arab;-;03-Jun-24;Boks 6;24-Oct-24;
504;1747;B;abk.ach.okr.tdb.ii;6 Barat;Baik;1915 Januari;Makam Toean di Bandar;Banda Aceh;Kuta Raja;Koeta Radja;Djawa;Gampong Djawa;Persegi Panjang;20;16;Atas;Mahkota;Floral;21x2;Kaligrafi dan Hiasan;-;Arab;Arab;-;21-May-24;Boks 6;24-Oct-24;
505;1748;B;abk.ach.okr.tdb.ii;7 Utara;Baik;1915 Januari;Makam Toean di Bandar;Banda Aceh;Kuta Raja;Onderafd. Koeta Radja;Djawa;Gampong Djawa;Persegi Panjang;51;17;Atas;Mahkota;Floral & Roset;29x17;Kaligrafi dan Hiasan;-;Arab;Arab;-;03-Jun-24;Boks 6;24-Oct-24;
506;1749;B;abk.ach.okr.tdb.ii;8 Timur;Baik;1915 Januari;Makam Toean di Bandar;Banda Aceh;Kuta Raja;Onderafd. Koeta Radja;Djawa;Gampong Djawa;Persegi Panjang;19;14;Bawah;Panil;Floral & Geometris;14x2;Kaligrafi dan Hiasan;-;Arab;Arab;-;03-Jun-24;Boks 6;24-Oct-24;
507;1750;C;abk.ach.okr.tdb.iii;1 Utara;Baik;1915 Januari;Makam Toean di Bandar;Banda Aceh;Kuta Raja;Onderafd. Koeta Radja;Djawa;Gampong Djawa;Persegi Panjang;36;19;-;-;-;-;Kaligrafi;-;Arab;Arab;-;03-Jun-24;Boks 6;24-Oct-24;
508;1751;C;abk.ach.okr.tdb.iii;7 Utara;Baik;1915 Januari;Makam Toean di Bandar;Banda Aceh;Kuta Raja;Onderafd. Koeta Radja;Djawa;Gampong Djawa;Persegi Panjang;33;19;-;-;-;-;Kaligrafi;-;Arab;Arab;-;03-Jun-24;Boks 6;24-Oct-24;
509;1752;D;;5 Selatan;Baik;1915 Januari;Makam Toean di Bandar;Banda Aceh;Kuta Raja;Koeta Radja;Djawa;Gampong Djawa;Nisan Bermahkota;45;17;Atas;Mahkota;Floral & Roset;28x17;Kaligrafi dan Hiasan;-;Arab;Arab;-;22-May-24;Boks 6;24-Oct-24;
510;1753;D;;6 Barat;Baik;1915 Januari;Makam Toean di Bandar;Banda Aceh;Kuta Raja;Onderafd. Koeta Radja;Djawa;Gampong Djawa;Persegi;14;12;Atas;Mahkota;Floral;11x4;Kaligrafi dan Hiasan;-;Arab;Arab;-;11-Jun-24;Boks 6;24-Oct-24;
511;1754;D;;7 Utara;Baik;1915 Januari;Makam Toean di Bandar;Banda Aceh;Kuta Raja;Onderafd. Koeta Radja;Djawa;Gampong Djawa;Nisan Bermahkota;45;17,5;Atas;Mahkota;Floral & Roset;27x17;Kaligrafi dan Hiasan;-;Arab;Arab;-;03-Jun-24;Boks 6;24-Oct-24;
512;1755;D;;8 Timur;Baik;1915 Januari;Makam Toean di Bandar;Banda Aceh;Kuta Raja;Onderafd. Koeta Radja;Djawa;Gampong Djawa;Persegi;14;12;Atas;Mahkota;Floral;11x5;Kaligrafi dan Hiasan;-;Arab;Arab;-;11-Jun-24;Boks 6;24-Oct-24;
513;1756;E;abk.ach.okr.tdb.v;5 Selatan ;Baik;1915 Januari;Makam Toean di Bandar;Banda Aceh;Kuta Raja;Koeta Radja;Djawa;Gampong Djawa;Persegi Panjang;49;24;-;-;-;-;Kaligrafi;-;Arab;Arab;-;28-May-24;Boks 6;24-Oct-24;
514;1757;E;abk.ach.okr.tdb.v;6 Barat;Baik;1916 Januari;Makam Toean di Bandar;Banda Aceh;Kuta Raja;Koeta Radja;Djawa;Gampong Djawa;Persegi Panjang;44;19;-;-;-;-;Kaligrafi;-;Arab;Arab;-;27-May-24;Boks 6;24-Oct-24;
515;1758;E;abk.ach.okr.tdb.v;7 Utara;Baik;1915 Januari;Makam Toean di Bandar;Banda Aceh;Kuta Raja;Onderafd. Koeta Radja;Djawa;Gampong Djawa;Persegi Panjang;48;28;-;-;-;-;Kaligrafi;-;Arab;Arab;-;03-Jun-24;Boks 6;24-Oct-24;
516;1759;E;abk.ach.okr.tdb.v;8 Timur;Baik;1916 Januari;Makam Toean di Bandar;Banda Aceh;Kuta Raja;Koeta Radja;Djawa;Gampong Djawa;Persegi Panjang;45;19;-;-;-;-;Kaligrafi;-;Arab;Arab;-;27-May-24;Boks 6;24-Oct-24;
517;1760;E;abk.ach.okr.tdb.v;Puncak;Baik;1915 Januari;Makam Toean di Bandar;Banda Aceh;Kuta Raja;Koeta Radja;Djawa;Gampong Djawa;Persegi Panjang;13;23;-;-;-;-;Kaligrafi;;Arab;Arab;-;29-Apr-24;Boks 6;24-Oct-24;
518;1762;II;;6 Barat;Baik;1915 Januari;Makam Tjot Ba Beum;Banda Aceh;Kuta Alam;Onderafd. Koeta Radja;Brawe;Raja;Persegi Panjang;42;26;Atas;Mahkota;Floral;25x8;Kaligrafi dan Hiasan;-;Arab;Arab;-;27-May-24;Boks 6;24-Oct-24;
519;1764;II;;8 Timur;Cukup Baik;1915 Januari;Makam Tjot Ba Beum;Banda Aceh;Kuta Alam;Onderafd. Koeta Radja;Djawa;Radja;Persegi Panjang;40,5;25;Atas;Mahkota;Floral;22x7,5;Kaligrafi dan Hiasan;-;Arab;Arab;-;11-Jun-24;Boks 6;24-Oct-24;
520;1765;V;;5 Selatan;Cukup Baik;1915 Januari;Makam Tjot Ba Beum;Banda Aceh;Kuta Alam;Onderafd. Koeta Radja;Djawa;Radja;Persegi Panjang;49;54;"Atas;Tengah";Mahkota & Sayap;Floral;"21x21;31x71";Kaligrafi dan Hiasan;-;Arab;Arab;-;11-Jun-24;Boks 6;24-Oct-24;
521;1768;V;;8 Timur;Baik;1915 Januari;Makam Tjot Ba Beum;Banda Aceh;Kuta Alam;Onderafd. Koeta Radja;Brawe;Radja;Persegi;19;16;"Atas;Bawah";Bingkai & Panil;Floral;"7x3;15x6";Kaligrafi dan Hiasan;-;Arab;Arab;-;20-May-24;Boks 6;24-Oct-24;
522;1770;VI;;6 Barat;Baik;1915 Januari;Makam Tjot Ba Beum;Banda Aceh;Kuta Alam;-;Brawe;Radja;Persegi Panjang;34;16;Atas;Mahkota;Floral;8,5x3;Kaligrafi dan Hiasan;-;Arab;Arab;-;15-May-24;Boks 6;24-Oct-24;
523;1773;VI;;Puncak (sisi Kiri);Baik;1915 Januari;Makam Tjot Ba Beum;Banda Aceh;Kuta Alam;-;Brawe;Radja;Persegi Panjang;9,5;25;-;-;-;-;Kaligrafi;-;Arab;Arab;-;15-May-24;Boks 6;24-Oct-24;
524;1774;VI;;Puncak (Sisi kanan);Baik;1915 januari;Makam Tjot Ba Beum;Banda Aceh;Kuta Alam;-;Brawe;Radja;Persegi Panjang;9;24;-;-;-;-;Kaligrafi;-;Arab;Arab;-;15-May-24;Boks 6;24-Oct-24;
525;1775;VI;abk.ach.ktr.drr.viii;5 Selatan;Baik;1915 Januari;Makam Djarat Radja;Banda Aceh;Kuta Alam;Onderafd. Koeta Radja;Brawe;Raja;Nisan Bermahkota;51;35;Atas;Mahkota;Floral;35x13;Kaligrafi dan Hiasan;-;Arab;Arab;-;27-May-24;Boks 6;24-Oct-24;
526;1776;VIII;abk.ach.ktr.drr.viii;6 Barat;Baik;1915 Januari;Makam Djarat Radja;Banda Aceh;Kuta Alam;-;Brawe;Radja;Nisan Bermahkota;54;37;Atas;Mahkota;Floral;37x14;Kaligrafi;-;Arab;Arab;-;28-May-24;Boks 6;24-Oct-24;
527;1777;VIII;abk.ach.ktr.drr.viii;7 Utara;Baik;1915 Januari;Makam Djarat Raja;Banda Aceh;Kuta Alam;-;Brawe;Radja;Nisan Bermahkota;53;37;"Atas;Bawah";Mahkota & Panil;Floral;"33,5x15;9x9";Kaligrafi dan Hiasan;-;Arab;Arab;-;11-Jun-24;Boks 6;24-Oct-24;
528;1778;VIII;abk.ach.ktr.drr.viii;8 Timur;Baik;1915 Januari;Makam Djarat Raja;Banda Aceh;Kuta Alam;-;Brawe;Radja;Nisan Bermahkota;53;37;"Atas;Bawah";Mahkota & Panil;Floral;"33x14,5;10x9";Kaligrafi dan Hiasan;-;Arab;Arab;-;11-Jun-24;Boks 6;24-Oct-24;
529;1779;X;abk.ach.ktr.drr.x;Puncak (nisan kaki);Baik;1915 Januari;Makam Djarat Raja;Banda Aceh;Kuta Alam;-;Brawe;Radja;Persegi Panjang;14;20;-;-;-;-;Kaligrafi;-;Arab;Arab;-;11-Jun-24;Boks 6;24-Oct-24;
530;1780;III;;3 Selatan;Baik;1915 Januari;Makam Toean Siah;Banda Aceh;Ulee Kareng;II Moekims Oeleë Kareuëng;Pango;Radja;Nisan Puncak Kurawal;92;32,5;Bawah;Panil;Geometris;32,5x13,5;Kaligrafi dan Hiasan;-;Arab;Arab;-;11-Jun-24;Boks 6;24-Oct-24;
531;1783;IV;;2-3 Tenggara;Baik;1915 Januari;Makam Toean Siah;Banda Aceh;Ulee Kareng;II Moekims Oeleë Kareuëng;Pango;Radja;Persegi Panjang;46;13;-;-;-;-;Kaligrafi;-;Arab;Arab;-;11-Jun-24;Boks 6;24-Oct-24;
532;1784;IV;;3-4 Barat Daya;Baik;1915 Januari;Makam Toean Siah;Banda Aceh;Ulee Kareng;II Moekims Oeleë Kareuëng;Pango;Radja;Persegi Panjang;45;13;-;-;-;-;Kaligrafi;-;Arab;Arab;-;11-Jun-24;Boks 6;24-Oct-24;
533;1785;IV;;4-1 Barat Laut;Baik;1915 Januari;Makam Toean Siah;Banda Aceh;Ulee Kareng;II Moekims Oeleë Kareuëng;Pango;Radja;Persegi Panjang;46;13;-;-;-;-;Kaligrafi;-;Arab;Arab;-;11-Jun-24;Boks 6;24-Oct-24;
534;1786;IV;;5-6 Barat Daya;Baik;1915 Januari;Makam Toean Siah;Banda Aceh;Ulee Kareng;II Moekims Oeleë Kareuëng;Pango;Radja;Persegi Panjang;43;12;-;-;-;-;Kaligrafi;-;Arab;Arab;-;11-Jun-24;Boks 6;24-Oct-24;
535;1787;IV;;6-7 Barat Laut;Baik;1915 Januari;Makam Toean Siah;Banda Aceh;Ulee Kareng;II Moekims Oeleë Kareuëng;Pango;Radja;Persegi Panjang;42;12;-;-;-;-;Kaligrafi;-;Arab;Arab;-;11-Jun-24;Boks 6;24-Oct-24;
536;1788;IV;;7-8 Timur Laut;Baik;1915 Januari;Makam Toean Siah;Banda Aceh;Ulee Kareng;II Moekims Oeleë Kareuëng;Pango;Radja;Persegi Panjang;41;12,5;-;-;-;-;Kaligrafi;-;Arab;Arab;-;11-Jun-24;Boks 6;24-Oct-24;
537;1789;IV;;8-5 Tenggara;Baik;1915 Januari;Makam Toean Siah;Banda Aceh;Ulee Kareng;II Moekims Oeleë Kareuëng;Pango;Radja;Persegi Panjang;42;12;-;-;-;-;Kaligrafi;-;Arab;Arab;-;11-Jun-24;Boks 6;24-Oct-24;
538;1790;I;;5 Selatan;Baik;1915 Februari;Makam Toean di Kandang;Aceh Besar;Darul Kamal;Sikoeroeëng;Biloej;Biloej;Persegi;27;25;Atas;Mahkota;Floral;21,5x3,5;Kaligrafi dan Hiasan;-;Arab;Arab;-;11-Jun-24;Boks 6;24-Oct-24;
539;1791;I;;6 Barat;Baik;1915 Februari;Makam Toean di Kandang;Aceh Besar;Darul Kamal;Sikoeroeëng;Biloej;Biloej;Persegi;28,5;26,5;Atas;Mahkota;Floral;21x3,5;Kaligrafi dan Hiasan;-;Arab;Arab;-;11-Jun-24;Boks 6;24-Oct-24;
540;1792;I;;7 Utara;Baik;1915 Februari;Makam Toean di Kandang;Aceh Besar;Darul Kamal;Sikoeroeëng;Biloej;Biloej;Persegi;28,5;25,5;Atas;Mahkota;Floral;22x3,5;Kaligrafi dan Hiasan;-;Arab;Arab;-;11-Jun-24;Boks 6;24-Oct-24;
541;1794;V;;5 Selatan;Baik;1915 Februari;Makam Toean di Kandang;Aceh Besar;Darul Kamal;Sikoeroeëng;Biloej;Biloej;Persegi Panjang;56;24;Atas;Mahkota;Floral & Roset;31x24;Kaligrafi dan Hiasan;-;Arab;Arab;-;11-Jun-24;Boks 6;24-Oct-24;
542;1795;V;;6 Barat;Baik;1915 Februari;Makam Toean di Kandang;Aceh Besar;Darul Kamal;Sikoeroeëng;Biloej;Biloej;Persegi Panjang;17;22;Atas;Mahkota;Floral;15,5x4,5;Kaligrafi dan Hiasan;-;Arab;Arab;-;11-Jun-24;Boks 6;24-Oct-24;
543;1796;V;;7 Utara;Baik;1915 Februari;Makam Toean di Kandang;Aceh Besar;Darul Kamal;Sikoeroeëng;Biloej;Biloej;Persegi Panjang;56;24;Atas;Mahkota;Floral;31x24;Kaligrafi dan Hiasan;-;Arab;Arab;-;11-Jun-24;Boks 6;24-Oct-24;
544;1798;VI;;5 Selatan;Baik;1915 Februari ;Makam Toean di Kandang;Aceh Besar;Darul Kamal;Sikoeroeëng;Biloej;Biloej;Persegi Panjang;22;12,5;Atas;Mahkota;Floral;12x4,5;Kaligrafi dan Hiasan;-;Arab;Arab;-;11-Jun-24;Boks 6;24-Oct-24;
545;1800;VI;;7 Utara;Baik;1915 Februari;Makam Toean di Kandang;Aceh Besar;Darul Kamal;Sikoeroeëng;Biloej;Biloej;Persegi Panjang;22;13;Atas;Mahkota;Floral;12x5,5;Kaligrafi dan Hiasan;-;Arab;Arab;-;05-Jun-24;Boks 6;24-Oct-24;
546;1801;VI;;8 Timur;Baik;1915 Februari;Makam Toean di Kandang;Aceh Besar;Darul Kamal;Sikoeroeëng;Biloej;Biloej;Persegi Panjang;27;17;Atas;Mahkota;Floral;11x4;Kaligrafi dan Hiasan;Pertanggalan;Arab;Arab;-;20-May-24;Boks 6;24-Oct-24;
547;1802;VII;;5 selatan;Baik;1915 Februari;Makam Toean di Kandang;Aceh Besar;Darul Kamal;Sikoeroeëng;Biloej;Biloej;Persegi Panjang;27;24;Atas;Mahkota;Floral;24x6;Kaligrafi dan Hiasan;Nama tokoh;Arab;Arab;-;17-May-24;Boks 6;24-Oct-24;
548;1803;VII;;6 Barat;Baik;1915 Februari;Makam Toean di Kandang;Aceh Besar;Darul Kamal;Sikoeroeëng;Biloej;Biloej;Persegi Panjang;27;24;Atas;Mahkota;Floral;24x6;Kaligrafi dan Hiasan;Nama tokoh;Arab;Arab;-;17-May-24;Boks 6;24-Oct-24;
549;1805;VII;;8 Timur;Baik;1915 Februari;Makam Toean di Kandang;Aceh Besar;Darul Kamal;Sikoeroeëng;Biloej;Biloej;Persegi Panjang;27;25;Atas;Mahkota;Floral;21x5;Kaligrafi dan Hiasan;-;Arab;Arab;-;21-May-24;Boks 6;24-Oct-24;
550;1807;I;;6 Barat;Baik;1915 Februari;Makam Teungkoe Lam Kaja;Aceh Besar;Darul Kamal;Lam Koenjit (IX Moekims);Lam Tadoek;Lam Tadoek;Persegi Panjang;37;20;Atas;Mahkota (terpotong);Floral;16x3;Kaligrafi dan Hiasan;-;Arab;Arab;-;15-May-24;Boks 6;24-Oct-24;
551;1809;I;;8 Timur;Baik;1915 Februari;Makam Teungkoe Lam Kaja;Aceh Besar;Darul Kamal;Lam Koenjit (IX Moekims);Lam Tadoek;Lam Tadoek;Persegi Panjang;38;20;Atas;Mahkota (terpotong);Floral;16x5;Kaligrafi dan Hiasan;-;Arab;Arab;-;15-May-24;Boks 6;24-Oct-24;
552;1814;II;;5 Selatan;Baik;1915 Februari ;Makam Kramat Toean di Ret;Banda Aceh;Meuraxa;Meusedjit Raja;Poenge Djoeroeng;Poenge Djoeroeng;Persegi Panjang;66;19;Tengah;Mahkota;Floral;16x8,5;Kaligrafi dan Hiasan;-;Arab;Arab;-;05-Jun-24;Boks 6;24-Oct-24;
553;1815;II;;6 Barat;Baik;1915 Februari;Makam Kramat Toean di Ret;Banda Aceh;Meuraxa;Meusedjit Raja;Poenge Djoeroeng;Poenge Djoeroeng;Persegi Panjang;19;17;Atas;Mahkota;Floral;3,5x10;Kaligrafi dan Hiasan;Pujian;Arab;Arab;-;29-May-24;Boks 6;24-Oct-24;
554;1816;II;;7 Utara;Baik;1915 Februari ;Makam Kramat Toean di Ret;Banda Aceh;Meuraxa;Meusedjit Raja;Poenge Djoeroeng;Poenge Djoeroeng;Persegi Panjang;64;18;Tengah;Mahkota;Floral;16x8,5;Kaligrafi dan Hiasan;-;Arab;Arab;-;05-Jun-24;Boks 6;24-Oct-24;
555;1817;II;;8 Timur;Baik;1915 Februari;Makam Kramat Toean di Ret;Banda Aceh;Meuraxa;Meusedjit Raja;Poenge Djoeroeng;Poenge Djoeroeng;Persegi Panjang;19;11;Atas;Mahkota;Floral;8x2,5;Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;05-Jun-24;Boks 6;24-Oct-24;
556;1818;II;;5-7 Puncak;Baik;1915 Februari;Makam Kramat Toean di Ret;Banda Aceh;Meuraxa;Meusedjit Raja;Poenge Djoeroeng;Poenge Djoeroeng;Persegi Panjang;8;25,5;-;-;-;-;Kaligrafi;Syair dan Puisi;Arab;Arab;-;05-Jun-24;Boks 6;24-Oct-24;
557;1819;II;;5 Selatan;Baik;1915 Februari;Makam Kramat Toean di Ret;Banda Aceh;Meuraxa;Meusedjit Raja;Poenge Djoeroeng;Poenge Djoeroeng;Persegi Panjang;15;49;-;-;-;-;Kaligrafi;-;Arab;Arab;-;05-Jun-24;Boks 6;24-Oct-24;
558;1820;II;;6 Barat;Baik;1915 Februari;Makam Kramat Toean di Ret;Banda Aceh;Meuraxa;Meusedjit Raja;Poenge Djoeroeng;Poenge Djoeroeng;Persegi Panjang;46;18;-;-;-;-;Kaligrafi;-;Arab;Arab;-;28-May-24;Boks 6;24-Oct-24;
559;1822;II;;8 Timur;Baik;1915 Februari;Makam Kramat Toean di Ret;Banda Aceh;Meuraxa;Meusedjit Raja;Poenge Djoeroeng;Poenge Djoeroeng;Persegi Panjang;40;14;-;-;-;-;Kaligrafi;-;Arab;Arab;-;29-May-24;Boks 6;24-Oct-24;
560;1824;III;;6 Barat;Baik;1915 Februari;Makam Kramat Toean di Ret;Banda Aceh;Meuraxa;Meusedjit Raja;Poenge Djoeroeng;Poenge Djoeroeng;Persegi Panjang;28;14,5;-;-;-;-;Kaligrafi;-;Arab;Arab;-;05-Jun-24;Boks 6;24-Oct-24;
561;1825;III;;7 Utara;Baik;1915 Februari;Makam Kramat Toean di Ret;Banda Aceh;Meuraxa;Meusedjit Raja;Poenge Djoeroeng;Poenge Djoeroeng;Persegi Panjang;28;14,5;Atas;mahkota;Floral;12,5x2;Kaligrafi;-;Arab;Arab;-;05-Jun-24;Boks 6;24-Oct-24;
562;1827;III;;5 Selatan;Baik;1915 Februari;Makam Kramat Toean di Ret;Banda Aceh;Meuraxa;Meusedjit Raja;Poenge Djoeroeng;Poenge Djoeroeng;Persegi Panjang;15;50;-;-;-;-;Kaligrafi;-;Arab;Arab;-;05-Jun-24;Boks 6;24-Oct-24;
563;1828;III;;6 Barat;Baik;1915 Februari;Makam Kramat Toean di Ret;Banda Aceh;Meuraxa;Meusedjit Raja;Poenge Djoeroeng;Poenge Djoeroeng;Persegi Panjang;15;49;-;-;-;-;Kaligrafi;-;Arab;Arab;-;05-Jun-24;Boks 6;24-Oct-24;
564;1829;III;;7 Utara (Randschrift/tulisan tepi);Baik;1915 Februari;Makam Kramat Toean di Ret;Banda Aceh;Meuraxa;Meusedjit Raja;Poenge Djoeroeng;Poenge Djoeroeng;Persegi Panjang;48,5;14;-;-;-;-;Kaligrafi;-;Arab;Arab;-;29-May-24;Boks 6;24-Oct-24;
565;1830;III;;8 Timur;Baik;1915 Februari;Makam Kramat Toean di Ret;Banda Aceh;Meuraxa;Meusedjit Raja;Poenge Djoeroeng;Poenge Djoeroeng;Persegi Panjang;49;15;-;-;-;-;Kaligrafi;-;Arab;Arab;-;05-Jun-24;Boks 6;24-Oct-24;
566;1834;Enkel Graf (makam tunggal);;8 Timur;Baik;1915 Maret;Makam Kramat Maha Radja;Aceh Besar;Peukan Bada;VI Moekims;Goerah;Meuseudjit Goerah;Persegi Panjang;53;15;Atas;Mahkota;Floral;13x7;Kaligrafi dan Hiasan;-;Arab;Arab;-;05-Jun-24;Boks 6;24-Oct-24;
567;1835;II;;5 Selatan;Baik;1915 Maret;Makam Toean Meurah;Banda Aceh;Jaya Baru;Meusedjit Raja;Lam Teumon;Lam Teumon;Persegi Panjang;36;17,5;-;-;-;-;Kaligrafi;-;Arab;Arab;-;28-May-24;Boks 6;24-Oct-24;
